Date,Title,myFinbert
2015-04-16,australian bank may still want fund adani ’ disputed coal project,2
2015-04-17,avantha get ‘ mafia ’ threat adani sale,2
2015-04-17,mafia threat avantha adani sale two person arrested making extortion call,2
2015-04-18,corporate head planned extortion bid avantha,2
2015-04-20,modi govt working poor ambani adani naidu,2
2015-04-21,adani completes r 6300cr lanco ’ udupi plant deal,2
2015-04-23,adani ’ tiroda plant tariff go,2
2015-04-25,adani bidder vizhinjam project,2
2015-05-12,adani power sink 7 disappointing q4 result,0
2015-05-14,ioc gail gas deal adani,2
2015-05-18,adani foray defence manufacturing,2
2015-05-23,cong leader taunt team modiadani,2
2015-05-26,jayaswal ’ grounded plane auctioned,2
2015-05-26,make india adani group may foray defence manufacturing mundra,2
2015-05-31,adani hire mba grad denied job muslim,2
2015-06-02,congress question adani group operating rajasthan govts coal mine chhattisgarh,2
2015-06-03,cong raise finger adani ’ rajasthan coal mining operation,2
2015-06-03,sena pat back adani group hiring muslim mba,2
2015-06-04,gadkari warning force chandy back adani bid,0
2015-06-04,maoist oppose adani group coal project australia support struggle indigenous group,2
2015-06-06,reliance power adani 45 billion power play bangladesh,2
2015-06-07,reliance power adani 45bn power play bangladesh,1
2015-06-09,adani company raise r 25000 crore via bond,2
2015-06-11,adani port begin work vizhinjam nov 1,2
2015-06-17,oustees take back land given adani group patkar,2
2015-06-24,44 firm ignored job quota rule,2
2015-06-24,went 4 pm 18 foreign visit adani,2
2015-06-25,adani may junk 16bn oz project,2
2015-06-25,adani set solar project jaisalmer,2
2015-06-28,gulf kutch gateway india inc,2
2015-06-28,gulfbased gfh sign pact adani mumbai economic zone,2
2015-06-29,adani suspends au project engg work delay approval,2
2015-06-30,tn government adani likely sign solar deal today,2
2015-07-07,iocadani combine bid cng licence 5 city,2
2015-07-10,lack demand close ntpc mouda plant,2
2015-07-15,adani talk acquire gangavaram port 21b,2
2015-07-15,adani accepts letter award,2
2015-07-18,tamil nadu ’ adani deal scanner,2
2015-07-18,mp solar tariff put tn adani deal scanner,2
2015-07-20,tamilisai seek report tamil nadus power deal adani group,2
2015-07-20,adani representative meet cm,2
2015-07-20,vizhinjam port kerala govt adanis ink pact august 17,2
2015-07-20,mp solar tariff put tn adani deal scanner,2
2015-07-21,medical school fee rise 40 3 year,1
2015-07-22,adani suspends 2 key contractor biggest australia coal project,2
2015-07-23,adani port raise 650 million via dollar bond issue,2
2015-08-05,australian court revoke approval adanis coal mine project,2
2015-08-06,snake lizard threaten adanis 16bn oz coal mine project,2
2015-08-06,blow adani australia bank end adviser role,2
2015-08-07,australian pm back adani mine say sabotaging project dangerous,2
2015-08-08,australian pm tony abbott attack proadani statement,2
2015-08-16,vizhinjam port mou signed monday,2
2015-08-18,adani ink port pact kerala,2
2015-08-18,v receives adanis stand firm stated position,2
2015-08-18,adani set 1000day deadline vizhinjam,1
2015-08-24,adani enterprise invest r 25000 crore chhattisgarh,2
2015-08-25,govt sign mous worth rs25k crore adani develop 2 project,2
2015-09-03,centre build major port tamil nadu cost r 21000 crore,2
2015-09-03,adani loses key customer carmichael mine australia,0
2015-09-03,hc cite lack proof decline entertain plea adani group,2
2015-09-06,hp govt approves refund 280 cr adani power,2
2015-09-06,himachal refund r 280 crore adani power,2
2015-09-11,adani bail power crisis,2
2015-09-11,adani group expand capacity udupi power plant 1600mw,2
2015-10-03,aiadmk govt shelving portmaduravoyal elevated expressway project chennai facilitate adanis dmk chief karunanidh,2
2015-10-03,adani port lt ink pact manage kattupalli port,2
2015-10-04,adani group take port near chennai,2
2015-10-05,left alternative say prakash karat,2
2015-10-06,adani eye sindri fertilizer factory,2
2015-10-09,shed procorporate tag venkaiah naidu say adani ambani cong ’ meherbani,2
2015-10-15,adanis coal mine project get reapproval australia,2
2015-11-02,power tariff jat quota focus inld rally,2
2015-12-04,24 year kerala begin work vizhinjam port,2
2015-12-06,vizhinjam adani announces csr project worth 35cr,2
2015-12-06,adani port keen enter maharashtra ap karnataka foreign nation,2
2015-12-21,adani power share zoom 9,1
2015-12-23,adani gain oz clear expansion key port,1
2015-12-28,karan adani take ceo adani port sez,2
2015-12-29,karan adani take port sez ceo,2
2015-12-29,karan adani take port sez ceo,2
2016-01-07,adani build transshipment hub mundra,2
2016-01-09,adani upcl release csr grant r 374 crore yellur gram panchayat,1
2016-01-10,adani upcl offer r 463cr csr mudarangadi gp,1
2016-01-11,rally adani power plant today,1
2016-01-11,rally adani power plant today,1
2016-01-12,adani drop anchor ap,2
2016-01-17,ngt quashes green nod adani hazira port,2
2016-01-17,ngt quashes green nod adani hazira port,2
2016-01-25,yet another delay hit city gas project,0
2016-01-26,former australian mp set 4600 km marathon run,2
2016-01-27,adani power azure power win solar project bid uttar pradesh,2
2016-02-02,adanis coal project australia get environmental approval,2
2016-02-04,adani eye power plant state,2
2016-02-06,plot cng station cancelled,2
2016-02-07,parineeti chopra unveils india ’ first diabetes care oil mumbai,2
2016-02-08,adani eye solar plant australia coal plan remains stuck,2
2016-02-08,adani eye solar plant oz coal plan remains stuck,2
2016-02-09,adani eye solar plant australia,2
2016-02-10,australia govt booster adani coal project,2
2016-02-11,adani ’ coal project get oz govt boost,2
2016-02-23,promoter sunil mittal kansai paint others go fishing stock sink new low,2
2016-02-27,adani group gag advocate,2
2016-02-27,adani enterprise new arm coal washing biz,2
2016-03-01,centre nod clubbing adani 3 sezs gujarat,2
2016-03-03,ngt penalty adani deposit r 25 cr fine,0
2016-03-04,ngt penalty adani deposit r 25 cr fine,0
2016-03-04,adani group may buy jindal power,2
2016-03-04,ngt penalty adani deposit r 25 cr fine,0
2016-03-04,gadkari point dip adani port business blunt opposition attack,2
2016-03-04,adani group may buy jindal power,2
2016-03-17,mp govt remove land encroachment adaniwilmar,2
2016-03-18,power plant conspiracy govt benefit adani ambani,2
2016-03-27,adani offer 49 pc stake dhamra lng project ioc gail,2
2016-03-29,sp fitch assign stable outlook adani transmission,2
2016-03-30,adani tie elbit alpha unmanned aircraft system,2
2016-04-03,adani gas cut png cng price,0
2016-04-04,adani enterpris share surge 8 win australia mining lease,1
2016-04-05,deliberate attempt draw adanis name panama paper,2
2016-04-07,adani restart talk stakeholder australian mine project,2
2016-04-08,adani defence business ally joint venture panamahit italian company,2
2016-04-12,inox wind bag two 70mw wind energy projs adani green,1
2016-04-17,adani get land owner consent oz project,2
2016-04-20,firm failing impact india solar plan goyal,2
2016-04-21,one dead 20 hurt hot water pipe burst adani plant,2
2016-04-29,7 succumb burn injury sustained adani plant,2
2016-04-30,7 succumb burn injury sustained adani plant,2
2016-05-03,adani power q4 net jump 64 r 1173 cr,1
2016-05-03,adani port q4 net profit jump 38 r 914 crore,1
2016-05-04,adani enterprise report q4 net profit r 167 cr,2
2016-05-04,adani port slump 12 mcap r 5849 crore,0
2016-05-05,water tiroda power plant released,2
2016-05-06,water supply adani plant still uncertain,2
2016-05-06,water supply adani plant still uncertain,2
2016-05-06,water supply adani plant still uncertain,2
2016-05-09,godda villager keep adani farmland,2
2016-05-09,aggregate debt top corporates well within norm sbi,2
2016-05-12,tariff relief 2 adani group power project,2
2016-05-12,aptel disallows compensatory tariff adani group plant,2
2016-05-12,aptel disallows compensatory tariff adani group plant,2
2016-05-13,bengal get hc nod bigticket mining operation,2
2016-05-13,water shortage may shut adani ’ tiroda plant later month,2
2016-05-17,lack water nearly shuts adani plant tiroda,2
2016-05-19,iocadani gail fail reach price agreement,2
2016-05-26,essar move hc govt gmb,1
2016-05-26,adani power expansion mundra hit green hurdle,1
2016-05-26,gail reconfigures r 12000 cr jagdishpurhaldia gas pipeline,2
2016-05-31,adani wilmar ruchi soya ink consumer good jv,2
2016-06-03,rio game u stint boost shot putter inderjeet singh,1
2016-06-03,public funding adanis coal mine australia pm,2
2016-06-08,abb open global business service centre bengaluru,2
2016-06-08,abb open glopal business service centre bengaluru,1
2016-06-09,fci ink pact adani group construction 2 silo,2
2016-06-09,coal power sector india water guzzler greenpeace,2
2016-06-09,coal power sector india water guzzler greenpeace,2
2016-06-13,abb link 648 mw solar project kamuthi national grid,2
2016-06-24,mahagenco ’ high rate causing power tariff hike,2
2016-06-27,sensex stay flat worst fall four month,2
2016-06-28,sensex stay flat worst fall four month,2
2016-06-28,bankrupt sun edison indian asset sale kick,0
2016-06-29,adani eye financial service tie macquarie nbfc,2
2016-07-01,vigilance probe official misused power graft case,2
2016-07-01,vigilance probe official misused power graft case,2
2016-07-01,adani proposes expand kattupalli port,2
2016-07-01,adani proposes expand kattupalli port,2
2016-07-01,gmr energy offloads stake adani transmission r 100 cr,2
2016-07-02,gmr energy offloads stake adani transmission r 100 cr,2
2016-07-02,vigilance probe official misused power graft case,2
2016-07-02,gmr energy offloads stake adani transmission r 100 cr,2
2016-07-04,cong raise mundra port issue parliament,2
2016-07-04,10 ew quota violates constitution sc order gujarat hc told,2
2016-07-05,summary observation recorded 0830 hr ist,2
2016-07-05,ministry expansion drama poll mayawati,2
2016-07-06,modi cabinet rejig drama say mayawati,2
2016-07-08,jharkhand aim power hub 2019 da,2
2016-07-09,pulse import benefit adani group say jdu,2
2016-07-09,mozambique pact pulse benefit adani group jdu,2
2016-07-09,mozambique pact pulse benefit adani group jdu,2
2016-07-09,pulse import benefit adani group say jdu,2
2016-07-11,political party unnecessarily drag corporates politics gautam adani,2
2016-07-11,sensex race 11mth high global cue nifty 8400,1
2016-07-12,jairam ramesh say gautam adani beneficiary crony capitalism,2
2016-07-15,sc refuse stall cerc proceeding compensatory tariff,2
2016-07-15,hardik walk jail vow continue quota stir,2
2016-07-15,kerala take colachel issue pm,2
2016-07-17,msedcl pay 16000 crore power never need,1
2016-07-19,fitch maintains stable outlook adani port,2
2016-07-19,fitch maintains stable outlook adani port,2
2016-07-20,adani enterprise raise r 6000 crore via security,2
2016-07-20,adani port complete terminal expansion mundra next year,2
2016-07-29,adanis medical college move hc management quota surrendered,2
2016-08-05,market hit higher orbit boe action sensex zoom 364 pt,1
2016-08-05,govt using 80 consumer money show power subsidy aap,2
2016-08-05,sensex zoom 364 pt nifty top 8600 boe stimulus push,1
2016-08-08,odisha seek cancellation tentuloi coal block otpcl,2
2016-08-08,bofaml expects rajan cut rate 25 bps tomorrow,0
2016-08-08,swamy prasad maurya join bjp,2
2016-08-08,govt never imposed penalty r 200 cr adani port sez,2
2016-08-09,apsez q1 net 31 r 836 cr,1
2016-08-09,irom sharmila get bail yet end fast,1
2016-08-09,adani power net loss narrow r 34 cr aprjun qtr,2
2016-08-10,poll 3 expelled cong mlas join bsp,2
2016-08-10,adani port share jump nearly 8 mcap rise r 3935 cr,1
2016-08-10,sensex post biggest singleday fall 6 week tank 310 pt,0
2016-08-10,adani enterprise q1 net profit flat r 364 cr,2
2016-08-10,travelyaari raise 7 mn gvfl bccl,1
2016-08-10,preparation afoot krishna pushkaram commencing friday,2
2016-08-10,adani transmission q1 net profit jump 3fold r 123 cr,1
2016-08-28,gmrs massive debt fail rankle goa government,2
2016-09-02,ngt refuse quash green nod adanis kerala port project,2
2016-09-04,gujarat cm inaugurates 5th edition toiadani shantigram t20 soccer,2
2016-09-09,birla mahindra among top biz honcho attend gi,2
2016-09-12,sensex trim early loss still 399 pt late morning,1
2016-09-13,aap expects dirt till goa punjab poll,2
2016-09-13,adani essar get dri notice overvaluing import,2
2016-09-14,sensex trade tight range bank auto save day,2
2016-09-21,merger quick fix banking sector issue assocham,2
2016-09-21,iocgail take 49 stake adani group dhamra lng project,2
2016-09-21,walmart india evaluating foodonly retail model,2
2016-09-21,adani group launch world ’ largest solar power plant tamil nadu,2
2016-09-21,railway functional autonomy bear salary burden,2
2016-09-21,kalyan jeweller invest r 900 cr expansion,1
2016-09-22,ioc gail mou dharma lng terminal,2
2016-09-25,india inc generationnext leader join crorepati club,2
2016-09-25,government port chief visit adanis mundhra port learn best practice,2
2016-09-25,adani upcl earmark r 536 cr csr,1
2016-09-26,sensex slide 149 point banking drag,0
2016-09-27,number chronically stressed company rise credit suisse,1
2016-09-27,sensex fails latch gain slump europe woe,0
2016-09-27,nifty decline third day slip 17 point,0
2016-09-29,speeding truck crash house injures woman,2
2016-10-01,35 lakh solatium marayamuttom accident,2
2016-10-04,sensex climb 159 point rbi policy meet focus,1
2016-10-05,adani sole bidder bhavanapadu port,2
2016-10-05,adani sole bidder bhavanapadu port,2
2016-10-05,photocopy casepublishers appeal delhi hc judgement,2
2016-10-05,rinfra sell power transmission biz adani r 2k cr,2
2016-10-05,rinfra sell power transmission biz adani r 2k cr,2
2016-10-05,hardly make film child bollywood ketan mehta,2
2016-10-06,rinfra sell power asset adani,2
2016-10-06,cary fukunaga visit india mami,2
2016-10-06,govt considering ban celebrity misleading ad,2
2016-10-06,sp moody rating atl unaffected rinfra deal,2
2016-10-07,fire near gas station char 3 vehicle vadaj,2
2016-10-12,adani upcl develops village road,1
2016-10-13,teacher ’ protest ‘ fast ’ today may remain mumbai affair,2
2016-10-17,foul play ruled adani power vicepresidents suicide cop probe case,2
2016-10-17,adani power vp commits suicide jaipur hotel,2
2016-10-19,update knowledge engineer vnit sign mous adani zeus,2
2016-10-22,foreign funded group want stop adani project au report,2
2016-10-24,cag call vizhinjam agreement onesided,1
2016-10-29,98 tree special zone likely cut,2
2016-11-01,adani upcls road inaugurated santhuru village 2510 lakh spent,2
2016-11-06,sukhbir harsimrat badal start 100 mw hsat plant,1
2016-11-09,bathinda get 100mw solar plant,2
2016-11-09,sensex nifty sink possible trump win withdrawal r 500 r 1000 note,0
2016-11-12,chandigarh get first cng station sector 44,2
2016-11-14,iimi utsaha,2
2016-11-15,ioagpl snap png supply medical college,2
2016-11-18,commercial consumer rethink moving png,1
2016-11-22,11000 ngo may get another chance renew fcra licence,2
2016-12-06,adani start work australia mine mid2017,2
2016-12-08,adani slammed low quality edible oil sale,0
2016-12-16,gujarat cm inaugurates vibrant ceramic expo summit2016 ahmedabad,2
2016-12-17,adani group developing ceramic cluster mundra,2
2016-12-17,adani group developing ceramic cluster mundra,2
2016-12-22,odisha clear investment proposal worth r 3000 crore,2
2016-12-22,first cng station open sangam city,2
2016-12-24,bjp reel document accuse upa favouring big corporates,2
2017-01-08,vibrant gujarat summit r 1 lakh crore fuel fire renewable energy,2
2017-01-09,vibrant gujarat global summit making mountain,2
2017-01-11,home turf pm narendra modi make reform pitch woo global business leader,2
2017-01-12,vibrant gujarat summit 24000 mous worth r 20 lakh crore signed day two,1
2017-01-13,state centre clear flyover proposal fast,2
2017-01-22,fire damage corporate office navrangpura,2
2017-01-23,major fire navrangpura office,2
2017-01-25,tata steel buy 51 odisha port project,2
2017-01-31,hyundai motor tiesup pusa institute technology,1
2017-02-03,refreshing approach growth via prudent measure adani,2
2017-02-08,godda villager seek halt land takeover adanis,2
2017-02-09,fitch assigns bbb rating adani port usd 500 mn bond,2
2017-02-09,rate hope spur budget rally sensex soar 4month high,1
2017-02-10,gi giant step towards povertyfree jharkhand raghubar da,2
2017-02-11,fresh bid tamil nadu inch max solar power limit,2
2017-02-18,govt yet approve revenue share bhavanapadu port,2
2017-02-20,adani transmission q3 net profit 33 r 9928 cr,1
2017-02-20,sensex end higher choppy trade eye iip data,1
2017-02-20,rinfra q3 net 49 r 375 creyes r 2l cr opportunity,1
2017-02-20,punj lloyd win r 348 crore pipeline tankage contract,2
2017-02-21,epca plan ban dirty fuel gas firm ready alternative supply,2
2017-02-22,correctedtableindia commercial paper dealtfeb 22,2
2017-02-22,breakingviewslloyds latest target look bridge far,2
2017-02-23,rpttableindia commercial paper dealtfeb 22,2
2017-02-23,rpttableindia commercial paper dealtfeb 22,2
2017-02-23,asia fuel oil tenderbahrains bapco offer midmarch hsfo cargo,2
2017-02-25,wanted see lawyer –this party,2
2017-02-26,wind power project go hammer next fiscal,2
2017-03-01,indian firm raise usd 182 bn overseas market jan,1
2017-03-01,hc stay apsez ’ notice cwc,2
2017-03-01,unit4 mundra plant run record 600 day adani power,2
2017-03-02,sensex fails keep early lead 145 pt late selloff,0
2017-03-02,market change course sensex give 145 pt,2
2017-03-06,violence erupts godda gram sabha several injured,2
2017-03-06,adani group seek another 142ha forest land near nagzira,2
2017-03-07,public meet end majority give nod power project,2
2017-03-10,jvmp alleges foul play godda public meet,2
2017-03-12,owner go green neighbourhood ’ pride,2
2017-03-17,queensland govt support usd 165bn coal mine project adani,2
2017-03-17,mock drill near adani port hajira,2
2017-03-17,mock drill near adani port hajira,2
2017-03-17,kochi 100 connection bengaluru 2000,2
2017-03-21,shetty slam sbi chief farmer ’ debt waiver remark,2
2017-03-21,142ha forest land near nagzira adani plant,2
2017-03-26,aii purdue university collaborate,2
2017-03-26,aii purdue university collaborate,2
2017-03-31,shah panel trash graft charge guj govt modi,2
2017-04-01,sreenivasan athirappilly project help middleman make money,2
2017-04-01,government pump money get meagre return psus,2
2017-04-05,adanis coal mine project australia granted water licence,2
2017-04-07,inquiry likely private firm,2
2017-04-12,navrachana university felicitates school ‘ swachhagrah ’ project,2
2017-04-12,supreme court set aside power tariff order tribunal,2
2017-04-15,500 gain skill devpt centre tiroda,2
2017-04-17,poultry business brother strike oil grit,0
2017-04-18,jvmp protest adani land,2
2017-04-19,sensex back green imd forecast hold hope,1
2017-04-19,ap government want revenue share bhavanapadu port,2
2017-04-26,city gas project local body spot go,2
2017-04-27,woman trainee pilot instructor dead plane hit high tension wire,2
2017-04-29,iran offer india run phase one chabahar port,2
2017-04-30,brinda karat take dig bjp ‘ double speak ’ kashmir,2
2017-05-03,adani group meet godda land donor,2
2017-05-04,jvmp plan statewide agitation,2
2017-05-05,mkts rollsensex soar 189 pt reform earnings boost,1
2017-05-08,kamarajar portadani group terminal ready 1 month,2
2017-05-09,power plant flout norm ’ transport flyash,2
2017-05-11,adani power limited halt 1250mw supply guvnl,2
2017-05-12,adani power cut 1250 mw power supply guvnl,2
2017-05-12,mla fear threat life government,2
2017-05-17,adani power share jump nearly 9 buzz cerc relief,1
2017-05-19,sac ink mou adani group optimize solar power generation,2
2017-05-22,unhappy diluted state rera homebuyers seek divine intervention,2
2017-05-22,adani begin extracting coal australian project fy21,2
2017-05-23,sensex 85 point early trade profit booking,1
2017-05-24,vizhinjam project favour adani say cag report,2
2017-05-26,market continue surge sensex nifty reach alltime high,1
2017-05-30,adani australian coal project back track royalty deal,2
2017-05-31,adani oz coal project back track royalty deal,2
2017-06-01,sensex nifty end flat guard volatility gdp number,2
2017-06-04,cm oommen chandy competitor keen see vizhinjam project nixed,2
2017-06-07,‘ panel probe matter ’,2
2017-06-09,contractor ’ men seek adani gas job,2
2017-06-12,vizhinjam deal report oommen chandy writes cag,2
2017-06-14,flying high coming thud,2
2017-06-19,fitch rate adani port proposed usd note bbbexp,2
2017-06-19,corp nbfcs look steer lending boom,2
2017-06-19,moody revise adani port outlook stable negative,2
2017-06-20,blocking creek near mundra human right commission seek report fisherman plaint,2
2017-06-21,petronet talk buy stake gspc mundra lng terminal,2
2017-06-22,tata power offer sell 51 stake mundra 1,2
2017-06-27,sensex nifty open strong long weekend,1
2017-06-27,govt stitch rescue plan tata adani power plant,2
2017-06-29,mep collect toll rajiv gandhi sea link,2
2017-06-29,cong ncp ask govt clarify stand land bill,2
2017-06-29,india solar power capacity 22 gw march goyal,2
2017-06-29,government approve fdi proposal 810 week,2
2017-06-29,guvnl vet proposal take importedcoal power plant,2
2017-07-04,sensex nifty gain 1 feelgood rally,1
2017-07-10,gujarat meet today rescue plan power plant,2
2017-07-11,plan invest white elephant chimanbhai sapariya,2
2017-07-13,boa defers decision adanis mundra plant transfer proposal,2
2017-07-19,moody upgrade adanis abbot point rating stable,1
2017-07-24,govt issue notice six company failing set power plant,0
2017-07-25,uppcl notice 6 company installing solar power plant,2
2017-07-26,spark fly tnerc public hearing debt power deal,2
2017-08-02,market cold rbi rate cut sensex nifty close red,2
2017-08-02,nifty hit fresh high 10101 sensex 100 point,1
2017-08-04,dredging co bid mercator eye fairfax support,1
2017-08-06,adani transmission acquires 2 spvs rvpn,2
2017-08-06,ioc buy 50 pc stake mundra lng terminal,2
2017-08-08,adia blackstone vie r 16kcr adani biz park deal mumbai,2
2017-08-09,nifty extends loss third day fall 70 pt,0
2017-08-10,govt continue support ai stake sale process,2
2017-08-10,adani power q1 net loss widens 95 r 453 cr,2
2017-08-14,adani port q1 net profit fall 1365 r 710 cr,0
2017-08-16,market open moderate gain nifty reclaims 9800 mark,2
2017-08-16,dhamra tense death three labourer,2
2017-08-18,nifty continues rule firm 3rd day 7 pt,1
2017-08-18,nifty reclaims 9900mark sensex 167 pt fund inflow,1
2017-08-19,adani overinvoicing import say congress seek scmonitored probe,2
2017-08-25,overvalued power gear import charge adani company dropped,2
2017-08-28,adani group share surge 9,1
2017-08-28,foreign ownership bse200 rise 43 bps 2493 q1,1
2017-09-01,sweden saab tie adani fighter jet deal,1
2017-09-02,sensex rise 258 pt global rally nifty 9800,1
2017-09-02,ioc invest r 32000 cr ramp petchem capacity fy21,1
2017-09-02,adani project moving slow pace say australian minister,2
2017-09-04,sensex drop 294 point nifty 9900,0
2017-09-14,vizhinjam port deal hc asks govt inform commercial benefit,2
2017-09-20,another plea hc probe overpricing power firm,2
2017-09-20,another plea sc probe overpricing power firm,2
2017-09-21,sensex nifty reverse gain rupee sink 26 paisa,0
2017-09-25,work department asks iocadani redo roadfilling work,2
2017-09-27,patanjali enter textile business take foreign company,2
2017-09-27,patanjali enter textile business take foreign company,2
2017-09-28,‘ surgical strike ’ shave 440 pt sensex,2
2017-09-29,sensex end steady post weekly loss,2
2017-10-02,greenko make 21billion bid reliance infrastructure ’ mumbai power business,2
2017-10-03,sensex keep clean slate rally 214 pt ahead rbi meet,1
2017-10-05,gujarat gas hike cng png price,1
2017-10-05,three engineer booked 2016 adani power plant accident,2
2017-10-05,wind power tariff hit alltime low r 264unit,2
2017-10-05,wind power tariff plunge record low r 264 per unit,0
2017-10-05,iaf start process acquire single engine jet month,2
2017-10-07,adani enterprise demerge renewable energy biz,2
2017-10-08,power cut 12 dists jaipur discom today,0
2017-10-09,market end flat note investor fence,2
2017-10-10,ai cut job create different one intel official,0
2017-10-10,adani transmission share jump 10 hit upper circuit,1
2017-10-10,sensex gain 6393 point 31943 nifty open 10017,1
2017-10-11,reliance infrastructure adani power mumbai unit sale talk,2
2017-10-12,adani co rally 5 bid rel infra ’ mumbai asset,1
2017-10-18,road restoration corp vet order,2
2017-10-27,vedanta adani may bid bunder diamond project mp,2
2017-10-28,dri drop adani group overvaluation case,2
2017-10-28,adani transmission q2 net profit fall 33 r 67 crore,0
2017-10-30,tn govt acting like real estate agent adani power stalin say,2
2017-10-31,sbi okay r 2317cr solar project,2
2017-10-31,adani power coercing land farmer k stalin,2
2017-11-01,adani transmission acquires rinfra wrsss asset r 1k cr,2
2017-11-03,market dip positive opening sensex look consolidate 33600mark,0
2017-11-03,gail run 15000 km pipeline nationwide,2
2017-11-11,goa government push technology control coal pollution,2
2017-11-12,adani firm close finalising rinfra power acquisition deal,1
2017-11-13,adani port q2 consolidated net dip 8 r 992 cr,2
2017-11-13,adani enterprise q2 pat fall 6 r 59 cr,0
2017-11-13,sensex nifty log first fall 3 daysadani port cil drag,2
2017-11-16,market bounce back sensex still 33000mark,1
2017-11-18,‘ cm misleading people coal river issue ’,2
2017-11-22,eyeing jet deal saab offer full tech transfer india,2
2017-11-23,ipps 60000mw thermal generation trouble,2
2017-11-24,adani mull making saab gripen fighter jet mihan,2
2017-11-27,adani may receive million dollarloan australian government,2
2017-11-29,sensex nifty close flat market trade cautious asian cue,2
2017-11-30,adani hindujas join race jaypee infra,2
2017-11-30,gas project extended north say government,2
2017-12-01,gujarat govt gave private power company huge profit public cost congress,2
2017-12-01,‘ government trying undermine panchayat role coal lobby ’,2
2017-12-01,best end tata power ’ monopoly,2
2017-12-05,sensex nifty open loss amid subdued investor sentiment,0
2017-12-06,adani essar tata caught political crossfire,2
2017-12-07,job road concern still icon industrialization,0
2017-12-08,market continue rally sensex regains 33000mark,1
2017-12-11,chinese solar panel cloud prospect 2 billion investment domestic unit,1
2017-12-11,pil overinvoicing power firm hc seek govts reply,2
2017-12-12,nifty end 10250 drop 82 point,0
2017-12-12,queensland government veto plan support loan adani australia,2
2017-12-18,adani cancel 26 billion dollar contract australian mining giant,2
2017-12-18,adani group allowed restore road,2
2017-12-21,adani acquires mumbai business debthit reliance energy r 19000 crore,2
2017-12-21,adani transmission rinfra rally 10 power biz deal,1
2017-12-21,adani buy debthit reliance energy r 19000 crore,1
2017-12-27,promise investment galore jharkhand,2
2017-12-30,bjp poisoning political disourse swaraj india,2
2018-01-05,adani raise gas price,2
2018-01-06,animal caught camera creates scare amid wedding preparation,2
2018-01-08,adani group among top 15 global utility solar power developer,2
2018-01-13,adani others ’ sell solar power higher rate uperc,2
2018-01-17,market make merry sensex breach 35000mark bank stock outperform,1
2018-01-18,business meet hit sweet spot r 10000 crore adani investment plan,2
2018-01-19,adani group invest logistics park,2
2018-01-19,adani group file defamation case news portal,2
2018-01-22,sensex gain 100 point nifty go past 10900mark early trade,1
2018-01-25,market snap bull run sensex nifty trade red,1
2018-01-25,market snap bull run sensex nifty trade red,1
2018-02-01,sit get 1 year probe case illegal iron ore export dropped cbi,2
2018-02-01,adani invest metro rail project state,2
2018-02-03,india cusp explosive growth gautam adani,1
2018-02-03,taiwanese oil refiner invest r 41600 crore gujarat,1
2018-02-03,india cusp explosive growth gautam adani,1
2018-02-05,mica celebrate foundation day,2
2018-02-07,govt concerned industrialist farmer anna hazare,2
2018-02-07,pm modi president ram nath kovind india inc top brass attend investor ’ summit,2
2018-02-12,rinfras r 18800 crore deal adani transmission get cci nod,2
2018-02-15,torrent top wind power auction 500 mw bag,2
2018-02-16,adani dump ash forest land allotted expansion,2
2018-02-16,adani kin buy air deccan pick 60 air odisha,2
2018-02-21,adani group invest r 35000 crore,2
2018-02-21,two firm gujarat bag award gcsra,2
2018-02-22,govt scrap singleengine fighter plan asks iaf go wider competition,2
2018-02-22,mous r 125 lakh crore light power sector,1
2018-02-22,adani group pledge r 37500 crore 5 year,2
2018-03-01,r 1645 crore due power bill industry,2
2018-03-01,adani invest r 5000 crore yeida area,2
2018-03-01,reliance infra get shareholder nod sale mumbai power biz adani,2
2018-03-01,rel infra get shareholder nod sale mumbai power biz adani,2
2018-03-02,congress accuses govt letting gujarat jeweller flee country,2
2018-03-05,call r 280 crore refund power firm legal opinion cm jai ram thakur,2
2018-03-06,rajasthan bjp mla back farmer stealing power,2
2018-03-06,time adani made accountable swamy,2
2018-03-06,time adani made accountable subramanian swamy,2
2018-03-07,adani group stock slump bjps swamy remark,0
2018-03-09,vpt scrap berth deal adani use imported bauxite coal,2
2018-03-09,finally four firm fray acquire jaypee infratech,2
2018-03-14,brainstorming yogi adityanath chalk ups growth path,1
2018-03-17,coal shortage hit power generation tariff may rise,0
2018-03-20,adani group request time complete first phase vizhinjam seaport project,2
2018-03-23,city get ksrtc cng bus,2
2018-03-23,opposition alleges conspiracy behind adani ’ letter stage walkout,2
2018-03-26,asset undervalued jaypee lender,2
2018-03-29,bird killed noncompliance,2
2018-03-30,6 held midsea theft dredger near alang,2
2018-03-30,adani enterprise sell entire stake subsidiary firm,2
2018-03-31,4 hike cng png price likely,2
2018-04-03,sensex close 100 point bank auto stock outperform,1
2018-04-04,anil ambanis reliance sends r 1000 crore defamation notice congress sanjay nirupam,2
2018-04-04,adani foray road infra win r 1140 cr road proj chhattisgarh,1
2018-04-05,sensex gain 400 point nifty test 10250level strong global cue,1
2018-04-05,delhi hc seek cbi report adani case closure,2
2018-04-07,adani port inaugurates phase ii dhamra port,2
2018-04-11,dark horse may pip adani kotak jaypee infra,2
2018-04-19,power plant running short coal rajasthan,2
2018-04-19,adani gas hike price cng png,2
2018-05-02,sc set aside ngts order quashing ec granted adanihazira port,2
