Date,Title,FinBERT
2/10/2015,adani to clinch sweetened $1b udupi power deal,2
2/10/2015,rajasthan govt; adani ink mou for solar plants,1
2/10/2015,"rajasthan govt, adani ink mou for solar plants",1
2/12/2015,adani eyes airport foray via ahmedabad,1
2/13/2015,"apl comes to cpl’s rescue, both from abhijeet group",2
2/14/2015,"coal block auction begins: ambanis, adanis in the race",1
2/14/2015,coal block auction begins: ambanis; adanis in the race,1
2/15/2015,coal auction: government gets 130 technical bids for 21 mines,2
2/18/2015,"railways, 18 companies face probe for service tax evasion",1
2/25/2015,state to hold talks with vizhinjam project bidders,1
3/2/2015,adani likely to invest in 3 sindri projects,1
3/5/2015,"coal block auction: usha martin, adani emerge winners on first day of round 2",2
3/5/2015,coal block auction: usha martin; adani emerge winners on first day of round 2,2
3/11/2015,queensland govt clears adani; gvk projects in australia,1
3/11/2015,"queensland govt clears adani, gvk projects in australia",1
3/13/2015,adani plans rs 20k crore clean energy park in mundra,1
3/13/2015,sbi chief arundhati bhattacharya scotches reports of scrapping $1 bn loan pact with adani,1
3/15/2015,"adani plans 1,000mw solar power plant at ramanathapuram",1
3/15/2015,adani plans 1;000mw solar power plant at ramanathapuram,1
3/17/2015,navina bole to do cameo in 'uff ! yeh nadaniyaan',1
3/21/2015,abhijeet group pays half the dues to prevent liquidation,1
3/22/2015,msedcl directed to allow wardha co to sell power to it,1
3/24/2015,"centre allocates 17 mega food parks to states, private firms",2
3/24/2015,adani; jsw vie for monnet power,1
3/24/2015,"adani, jsw vie for monnet power",1
3/27/2015,cigarettes worth crores seized in gujarat,0
3/28/2015,owners reject adani's land deal in australia,1
3/31/2015,australian green lobby drags adani group to court over mine project,1
3/31/2015,dri arrests 1 in rs 24 crore cigarettes seizure case,1
4/4/2015,uber-rich buying luxury apartments in bandra-kurla complex,2
4/8/2015,pm's give-it-up call: adani group employees vow to shun lpg subsidy,2
4/8/2015,pm’s give-it-up call: adani group employees vow to shun lpg subsidy,2
4/9/2015,india inc rallies behind pm’s appeal to give up gas subsidy,1
4/9/2015,three french banks refuse to fund adani project in australia,1
4/9/2015,five die while cleaning 25-deep tank in adani’s oil factory in neemuch,1
4/14/2015,adani working with australia group to resolve land issue,1
4/16/2015,australian banks may still want to fund adani's disputed coal project,1
4/16/2015,australian banks may still want to fund adani’s disputed coal project,1
4/17/2015,avantha gets ‘mafia’ threat over adani sale,1
4/17/2015,'mafia' threat to avantha over adani sale: two persons arrested for making extortion call,1
4/17/2015,avantha gets 'mafia' threat over adani sale,1
4/18/2015,corporate head planned extortion bid on avantha,2
4/20/2015,modi govt working for poor; not ambani or adani: naidu,1
4/20/2015,"modi govt working for poor, not ambani or adani: naidu",1
4/21/2015,adani completes rs 6;300cr lanco's udupi plant deal,1
4/21/2015,"adani completes rs 6,300cr lanco’s udupi plant deal",1
4/23/2015,shalini sahuta to play lead in 'total nadaniyaan',2
4/23/2015,adani's tiroda plant tariff to go up again,2
4/23/2015,adani’s tiroda plant tariff to go up again,2
4/25/2015,adani only bidder for vizhinjam project,1
4/27/2015,'total nadaniyaan' promises double comedy and total madness,1
5/12/2015,adani power sinks over 7% on disappointing q4 results,0
5/14/2015,"ioc, gail in gas deal with adani",1
5/14/2015,ioc; gail in gas deal with adani,1
5/18/2015,adani to foray into defence manufacturing,1
5/23/2015,cong leader taunts team modi-adani,1
5/26/2015,make in india: adani group may foray into defence manufacturing at mundra,1
5/26/2015,jayaswal’s grounded plane to be auctioned,1
5/29/2015,adani shares fall ahead of delisting next week for restructuring,0
5/31/2015,adani hires mba grad who was denied job for being a muslim,1
6/2/2015,congress questions adani group operating rajasthan govt's coal mine in chhattisgarh,1
6/3/2015,sena pat on back for adani group for hiring muslim mba,2
6/3/2015,cong raises finger over adani's rajasthan coal mining operations,1
6/3/2015,cong raises finger over adani’s rajasthan coal mining operations,1
6/4/2015,gadkari warning forces chandy to back adani bid,1
6/4/2015,"maoists oppose adani group coal project in australia, support struggle of indigenous groups",1
6/6/2015,"reliance power, adani in $4.5 billion power play in bangladesh",1
6/6/2015,adani; reliance to build bangladesh power plants to ease crisis,2
6/7/2015,reliance power; adani in $4.5bn power play in bangladesh,1
6/7/2015,"reliance power, adani in $4.5bn power play in bangladesh",1
6/9/2015,adani companies to raise rs 25;000 crore via bonds,2
6/9/2015,"adani companies to raise rs 25,000 crore via bonds",2
6/10/2015,adani group to hit global bond market with $1.5-billion issue,2
6/11/2015,adani ports to begin work in vizhinjam on nov 1,2
6/17/2015,oustees should take back land given to adani group: patkar,2
6/24/2015,adani halts work on australia's carmichael coal mine project: report,1
6/24/2015,44 firms ignored job quota rule,0
6/24/2015,went on 4 of pm's 18 foreign visits: adani,2
6/25/2015,adani to set up solar project in jaisalmer,1
6/25/2015,adani may junk $16bn oz project,1
6/26/2015,foxconn; adani may tie up form manufacturing,1
6/26/2015,iphone maker foxconn; adani may tie up for manufacturing,1
6/28/2015,gulf-based gfh signs pact with adani for mumbai economic zone,2
6/28/2015,gulf of kutch now the gateway of india inc,1
6/29/2015,adani suspends aus project's engg work over delay in approvals,1
6/30/2015,"tn government, adani likely to sign solar deal today",2
6/30/2015,tn government; adani likely to sign solar deal today,2
7/4/2015,tn govt; adani group sign solar power deal,1
7/7/2015,ioc-adani combine bid for cng licence in 5 cities,2
7/10/2015,lack of demand closes down ntpc mouda plant,0
7/15/2015,adani in talks to acquire gangavaram port for $2.1b,2
7/15/2015,adani accepts letter of award,1
7/18/2015,mp's solar tariff puts tn's adani deal under scanner,1
7/18/2015,tamil nadu’s adani deal under scanner,1
7/18/2015,tamil nadu's adani deal under scanner,1
7/18/2015,experts: tn a loser in solar deal with adani,0
7/20/2015,tamilisai seeks report on tamil nadu's power deal with adani group,1
7/20/2015,adani representative to meet cm,1
7/20/2015,"vizhinjam port: kerala govt, adanis to ink pact on august 17",2
7/21/2015,medical school fees to rise by 40% for 3 years,2
7/22/2015,'adani suspends 2 key contractors on biggest australia coal project',1
7/23/2015,adani ports raises $650 million via dollar bond issue,2
8/5/2015,australian court revokes approval for adani's coal mine project,1
8/6/2015,"snake, lizard threaten adani's $16bn oz coal mine project",1
8/6/2015,blow for adani in australia; bank ends adviser role,1
8/6/2015,"blow for adani in australia, bank ends adviser role",1
8/6/2015,snake; lizard threaten adani's $16bn oz coal mine project,1
8/7/2015,"australian pm backs adani mine, says sabotaging of projects dangerous",1
8/8/2015,australian pm tony abbott under attack for pro-adani statement,1
8/16/2015,vizhinjam port mou to be signed on monday,1
8/18/2015,adani inks port pact with kerala,1
8/18/2015,"vs receives adanis, stands firm on 'stated position'",2
8/18/2015,vs receives adanis; stands firm on 'stated position',2
8/18/2015,adani sets 1;000-day deadline for vizhinjam,1
8/18/2015,"adani sets 1,000-day deadline for vizhinjam",1
8/24/2015,"adani enterprises to invest rs 25,000 crore in chhattisgarh",2
8/25/2015,govt signs mous worth rs25k crore with adani to develop 2 projects,2
9/3/2015,"centre to build major port in tamil nadu at a cost of rs 21,000 crore",2
9/3/2015,adani loses key customer for carmichael mine in australia,1
9/3/2015,"hc cites lack of proof, declines to entertain plea against adani group",1
9/3/2015,adani group keen on setting up 1000mw solar plant,2
9/3/2015,hc cites lack of proof; declines to entertain plea against adani group,1
9/6/2015,himachal to refund rs 280 crore to adani power,1
9/6/2015,hp govt approves refund of 280 cr to adani power,1
9/11/2015,adani to bail up out of power crisis,2
9/11/2015,adani group to expand capacity of udupi power plant by 1600mw,2
9/14/2015,neelam sivia joins big magic's 'total nadaniyaan',1
9/20/2015,cops recover two guns from atul bhadani,1
9/29/2015,no evidence on madani's 'plot'no evidence on madani's 'plot' to kill rss idealogue: cb,1
10/3/2015,aiadmk govt shelving port-maduravoyal elevated expressway project in chennai to facilitate adanis: dmk chief karunanidh,1
10/3/2015,adani ports and l&t ink pact to manage kattupalli port,1
10/4/2015,adani group takes over port near chennai,2
10/5/2015,"left is the only alternative, says prakash karat",1
10/6/2015,adani eyes sindri fertilizer factory,1
10/9/2015,to shed pro-corporate tag; venkaiah naidu says adani; ambani are cong's meherbani,1
10/9/2015,"to shed pro-corporate tag, venkaiah naidu says adani, ambani are cong’s meherbani",1
10/15/2015,adani's coal mine project gets re-approval in australia,2
10/16/2015,adani gets green nod for $7bn oz mine,2
10/21/2015,razia sultan and total nadaniyaan wrap up,1
11/2/2015,"power tariff, jat quota in focus at inld rally",1
11/9/2015,adani coal mine in australia faces fresh legal challenge,1
12/4/2015,mahmood a madani: islamic state vs islamic ideals,1
12/4/2015,"after 24 years, kerala to begin work on vizhinjam port",2
12/6/2015,vizhinjam: adani announces csr projects worth 35cr,1
12/6/2015,"adani ports keen to enter maharashtra, ap, karnataka and foreign nations",2
12/20/2015,shri d.r. thadani; advocate,1
12/21/2015,adani power shares zoom over 9%,2
12/23/2015,adani to gain as oz clears expansion of key port,2
12/28/2015,karan adani takes over as ceo of adani ports and sez,2
12/28/2015,adani's 600-mw chhattisgarh plant delayed on public opposition,1
12/29/2015,karan adani takes over as port sez ceo,2
12/29/2015,karan adani named ceo of adani ports and sez,1
1/7/2016,adani to build transshipment hub at mundra,1
1/9/2016,adani upcl to release csr grant of rs 3.74 crore to yellur gram panchayat,2
1/10/2016,adani upcl offers rs 4.63cr under csr to mudarangadi gp,1
1/11/2016,rally against adani power plant today,2
1/12/2016,adani to drop anchor in ap,0
1/17/2016,ngt quashes green nod for adani hazira port,1
1/25/2016,yet another delay hits city gas project,0
1/26/2016,"former australian mp sets off on 4,600 km marathon run",2
1/27/2016,adani power; azure power win solar projects bids in uttar pradesh,1
1/27/2016,"adani power, azure power win solar projects bids in uttar pradesh",2
2/2/2016,adani's coal project in australia gets environmental approval,2
2/4/2016,adani eyes power plants in state,1
2/6/2016,plot for cng station cancelled,1
2/7/2016,parineeti chopra unveils india’s first diabetes care oil in mumbai,1
2/8/2016,adani eyes solar plant in oz as coal plan remains stuck,1
2/8/2016,adani eyes solar plant in australia as coal plan remains stuck,1
2/9/2016,adani eyes solar plant in australia,1
2/10/2016,australia govt booster for adani coal project,2
2/11/2016,adani’s coal project gets oz govt boost,2
2/11/2016,adani's coal project gets oz govt boost,2
2/23/2016,"promoters such as sunil mittal, kansai paints and others go fishing as stocks sink to new lows",1
2/27/2016,adani group gags its own advocate,1
2/27/2016,adani enterprise's new arm for coal washing biz,1
3/1/2016,centre nods for clubbing adani 3 sezs in gujarat,1
3/3/2016,ngt penalty: adani deposits rs 25 cr fine,1
3/4/2016,gadkari points to dip in adani port business to blunt opposition attack,2
3/4/2016,adani group may buy jindal power,2
3/11/2016,ghulam nabi azad to represent congress president at solidarity conference: madani,1
3/13/2016,extremists trying to create hindu state: madani,1
3/17/2016,power plants: conspiracy of govt to benefit adani; ambani,1
3/17/2016,mp govt to remove land encroachment by adani-wilmar,1
3/18/2016,"'power plants: conspiracy of govt to benefit adani, ambani'",1
3/27/2016,"adani offers 49 pc stake in dhamra lng project to ioc, gail",2
3/27/2016,adani offers 49 pc stake in dhamra lng project to ioc; gail,2
3/29/2016,"s&p, fitch assign stable outlook to adani transmission",1
3/30/2016,"adani ties up with elbit, alpha for unmanned aircraft systems",1
4/3/2016,adani wins queensland nod for australian coal project,2
4/3/2016,adani gas cuts png; cng prices,0
4/3/2016,"adani gas cuts png, cng prices",0
4/4/2016,adani enterpris shares surge 8% after wins in australia mining leases,2
4/5/2016,'deliberate attempt to draw adani's name in panama papers',1
4/5/2016,adani eyes us solar co sunedison's india assets,1
4/7/2016,adani to restart talks with stakeholders over australian mine project,1
4/8/2016,adani defence business ally has joint venture with panama-hit italian company,1
4/12/2016,inox wind bags two 70-mw wind energy projs from adani green,1
4/17/2016,adani gets land owners' consent for oz project,1
4/20/2016,some firms failing will not impact india's solar plans: goyal,1
4/21/2016,"one dead, 20 hurt as hot water pipe bursts at adani plant",0
4/21/2016,one dead; 20 hurt as hot water pipe bursts at adani plant,0
4/29/2016,7 succumb to burn injuries sustained at adani plant,1
5/3/2016,"adani power q4 net jumps 64% at rs 1,173 cr",2
5/3/2016,adani ports q4 net profit jumps 38% to rs 914 crore,2
5/4/2016,adani enterprises reports q4 net profit at rs 167 cr,1
5/4/2016,"adani ports slumps 12%; mcap down by rs 5,849 crore",0
5/5/2016,water for tiroda power plant released,1
5/6/2016,water supply to adani plant still uncertain,1
5/7/2016,two of 4 units at adani plant shut;no power cut yet,0
5/9/2016,can godda villagers keep adani off their farmland?,1
5/9/2016,aggregate debt of top corporates 'well within norms': sbi,1
5/12/2016,aptel disallows compensatory tariff for adani group's plants,1
5/12/2016,no tariff relief for 2 adani group power projects,1
5/13/2016,bengal gets hc nod for big-ticket mining operations,2
5/13/2016,water shortage may shut adani’s tiroda plant later this month,1
5/13/2016,water shortage may shut adani's tiroda plant later this month,1
5/17/2016,lack of water nearly shuts down adani plant at tiroda,0
5/19/2016,"ioc-adani, gail fail to reach price agreement",1
5/19/2016,ioc-adani; gail fail to reach price agreement,1
5/26/2016,adani power's expansion at mundra hits green hurdle,2
5/26/2016,"gail reconfigures rs 12,000 cr jagdishpur-haldia gas pipeline",1
5/26/2016,"essar moves hc against govt, gmb",1
5/31/2016,adani wilmar; ruchi soya ink consumer goods jv,1
5/31/2016,"adani wilmar, ruchi soya ink consumer goods jv",1
6/1/2016,evacuation notice for adaniya pul,1
6/2/2016,vadodara municipal corporation chief meets adaniya pul locals,1
6/3/2016,no public funding in adani's coal mine: australia pm,1
6/3/2016,rio games: us stint a boost for shot putter inderjeet singh,2
6/4/2016,religious places shifted before razing drive at adaniya pul,1
6/8/2016,abb opens glopal business service centre in bengaluru,1
6/8/2016,abb opens global business service centre in bengaluru,1
6/9/2016,fci inks pact with adani group for construction of 2 silos,2
6/9/2016,coal power sector in india 'water guzzler': greenpeace,1
6/13/2016,abb links 648 mw solar project at kamuthi with national grid,1
6/24/2016,mahagenco’s high rates causing power tariff hike,2
6/27/2016,sensex stays flat after worst fall in four months,0
6/28/2016,bankrupt sun edison's indian asset sale kicks off,1
6/29/2016,adani eyes financial services; ties up with macquarie for nbfc,1
6/29/2016,"adani eyes financial services, ties up with macquarie for nbfc",1
7/1/2016,vigilance to probe if officials misused power in graft cases,1
7/1/2016,gmr energy offloads stake to adani transmission for rs 100 cr,2
7/1/2016,adani proposes to expand kattupalli port,2
7/3/2016,court allows madani to visit ailing mother,2
7/4/2016,cong to raise mundra port issue in parliament,2
7/4/2016,"10% ews quota violates constitution, sc order: gujarat hc told",1
7/5/2016,ministry expansion a drama before up polls: mayawati,1
7/5/2016,summary of observations recorded at 0830 hrs ist:,1
7/6/2016,"modi cabinet rejig is only drama, says mayawati",1
7/8/2016,jharkhand aims to be power hub by 2019: das,2
7/9/2016,mozambique pact on pulses to benefit adani group: jd-u,1
7/9/2016,"pulses import to benefit adani group, says jd(u)",1
7/11/2016,"sensex races to 11-mth high on global cues, nifty above 8,400",2
7/11/2016,political parties should not unnecessarily drag corporates into their politics: gautam adani,1
7/11/2016,jairam ramesh's facts not in order; argument on the basis of 'political convenience': gautam adani,1
7/12/2016,jairam ramesh says gautam adani is beneficiary of crony capitalism,1
7/15/2016,sc refuses to stall cerc proceedings on compensatory tariff,1
7/15/2016,"hardik walks out of jail, vows to continue quota stir",2
7/15/2016,kerala to take colachel issue to pm,2
7/17/2016,"msedcl to pay 16,000 crore for power it will never need!",2
7/19/2016,fitch maintains 'stable' outlook for adani ports,1
7/20/2016,adani ports to complete terminal expansion at mundra next year,2
7/20/2016,"adani enterprises to raise up to rs 6,000 crore via securities",2
7/29/2016,adani's medical college moves hc for management quota it surrendered,1
8/2/2016,rajesh thadani to head lenovo india's consumer business,1
8/5/2016,govt using 80% consumer money to show power subsidy: aap,1
8/5/2016,"sensex zooms 364 pts, nifty tops 8,600 on boe stimulus push",2
8/5/2016,"market hits higher orbit on boe action, sensex zooms 364 pts",2
8/8/2016,swamy prasad maurya joins bjp,2
8/8/2016,odisha seeks cancellation of tentuloi coal block to otpcl,1
8/8/2016,"'govt never imposed penalty of rs 200 cr on adani port, sez'",1
8/8/2016,bofa-ml expects rajan to cut rates by 25 bps tomorrow,2
8/9/2016,adani power net loss narrows to rs 34 cr in apr-jun qtr,1
8/9/2016,"irom sharmila gets bail, yet to end fast",2
8/9/2016,apsez q1 net up 31% at rs 836 cr,2
8/10/2016,up polls: 3 expelled cong mlas join bsp,1
8/10/2016,adani transmission q1 net profit jumps 3-fold to rs 123 cr,2
8/10/2016,"adani ports shares jump nearly 8%; mcap rises by rs 3,935 cr",2
8/10/2016,adani enterprises q1 net profit flat at rs 364 cr,1
8/10/2016,"sensex posts biggest single-day fall in 6 weeks, tanks 310 pts",0
8/10/2016,preparations afoot for 'krishna pushkaram' commencing friday,2
8/10/2016,"travelyaari raises $7 mn from gvfl, bccl",2
8/28/2016,gmr's massive debts fail to rankle goa government,1
9/1/2016,witness in madani case gets threat calls,0
9/1/2016,madani case witness gets threat,2
9/2/2016,ngt refuses to quash green nod to adani's kerala port project,1
9/4/2016,gujarat cm inaugurates 5th edition of 'toi-adani shantigram t20 soccer',1
9/9/2016,"birla, mahindra among top biz honchos to attend gis",1
9/12/2016,"sensex trims early losses, still down 399 pts in late morning",0
9/13/2016,adani; essar get dri notice for overvaluing imports,1
9/13/2016,"adani, essar get dri notice for overvaluing imports",1
9/13/2016,"aap expects more dirt till goa, punjab polls",2
9/14/2016,"sensex trades in a tight range, banks, auto save the day",1
9/21/2016,kalyan jewellers to invest rs 900 cr for expansion,2
9/21/2016,"railways to have functional autonomy, bear salary burden",1
9/21/2016,walmart india evaluating 'food-only' retail model,1
9/21/2016,"ioc,gail to take 49% stake in adani group's dhamra lng project",2
9/21/2016,adani group launches world’s largest solar power plant in tamil nadu,2
9/21/2016,mergers no quick fix for banking sector issues: assocham,1
9/22/2016,ioc gail mou for dharma lng terminal,1
9/25/2016,india inc's generation-next leaders join crorepati club,2
9/25/2016,government port chiefs to visit adani's mundhra port to learn best practices,1
9/25/2016,adani upcl earmarks rs 536 cr for csr,1
9/26/2016,"sensex slides further by 149 points, banking a drag",0
9/27/2016,number of chronically stressed companies rise: credit suisse,2
9/27/2016,"sensex fails to latch on to gains, slumps on europe woes",0
9/27/2016,"nifty declines for third day, slips 17 points",0
9/29/2016,"speeding truck crashes into house, injures woman",1
10/1/2016,35 lakh solatium in marayamuttom accident,1
10/4/2016,"sensex climbs 159 points, rbi policy meet in focus",2
10/5/2016,adani sole bidder for bhavanapadu port,1
10/5/2016,rinfra to sell power transmission biz to adani for rs 2k cr,1
10/5/2016,photocopy case:publishers to appeal against delhi hc judgement,1
10/5/2016,we hardly make films for children in bollywood: ketan mehta,1
10/6/2016,"s&p, moody's ratings on atl unaffected by rinfra deal",1
10/6/2016,r-infra sells power assets to adani,1
10/6/2016,govt considering ban on celebrities for misleading ads,1
10/6/2016,cary fukunaga to visit india for mami,2
10/7/2016,fire near gas station chars 3 vehicles in vadaj,1
10/12/2016,adani upcl develops village road,1
10/13/2016,teachers’ protest ‘fast’ today may remain a mumbai affair,1
10/17/2016,foul play ruled out in adani power vice-president's suicide; but cops to probe case,1
10/17/2016,adani power vp 'commits suicide' in jaipur hotel,1
10/17/2016,"foul play ruled out in adani power vice-president's suicide, but cops to probe case",1
10/19/2016,to update knowledge of engineers; vnit signs mous with adani and zeus,1
10/19/2016,"to update knowledge of engineers, vnit signs mous with adani and zeus",1
10/22/2016,foreign funded group wants to stop adani project in australia report,1
10/22/2016,foreign funded group wants to stop adani project in aus: report,1
10/24/2016,cag calls vizhinjam agreement one-sided,1
10/29/2016,98 trees in special zone likely to be cut down,0
11/1/2016,"adani upcl's road inaugurated at santhuru village, 25.10 lakh spent",1
11/1/2016,adani upcl's road inaugurated at santhuru village; 25.10 lakh spent,1
11/6/2016,"sukhbir, harsimrat badal to start 100 mw hsat plant",2
11/9/2016,"sensex, nifty sink over possible trump win, withdrawal of rs 500, rs 1000 notes",1
11/9/2016,bathinda gets 100mw solar plant,2
11/12/2016,chandigarh gets its first cng station in sector 44,1
11/14/2016,iim-i utsaha,1
11/15/2016,ioagpl snaps png supply at medical college,1
11/18/2016,commercial consumers rethink moving over to png,2
11/22/2016,"11,000 ngos may get another chance to renew fcra licence",2
12/6/2016,adani to start work at australia mine by mid-2017,2
12/8/2016,adani slammed for low quality edible oil sale,1
12/16/2016,gujarat cm inaugurates vibrant ceramics expo and summit-2016 in ahmedabad,1
12/17/2016,adani group developing ceramic cluster in mundra,1
12/22/2016,"odisha clears investment proposals worth rs 3,000 crore",1
12/22/2016,first cng station open at sangam city,1
12/24/2016,bjp reels out documents to accuse upa of favouring big corporates,1
1/8/2017,vibrant gujarat summit: rs 1 lakh crore fuel to fire up renewable energy,2
1/9/2017,vibrant gujarat global summit - making of a mountain,2
1/11/2017,"at home turf, pm narendra modi makes reforms pitch to woo global business leaders",2
1/12/2017,"vibrant gujarat summit: 24,000 mous worth rs 20 lakh crore signed on day two",2
1/13/2017,state to centre: clear flyover proposals fast,2
1/22/2017,fire damages corporate office in navrangpura,1
1/23/2017,major fire in navrangpura office,1
1/25/2017,tata steel buys 51% in odisha port project,2
1/31/2017,hyundai motor ties-up with pusa institute of technology,1
2/3/2017,refreshing approach to growth via prudent measures: adani,1
2/8/2017,godda villagers seek halt to land takeover for adanis,1
2/9/2017,fitch assigns 'bbb-' rating to adani ports' usd 500 mn bonds,1
2/9/2017,"rate hopes spur budget rally, sensex soars to 4-month high",2
2/10/2017,gis a giant step towards a poverty-free jharkhand: raghubar das,2
2/11/2017,"with fresh bids, tamil nadu inches to max solar power limit",2
2/18/2017,govt yet to approve revenue share in bhavanapadu port,1
2/20/2017,"sensex ends higher in choppy trade, all eyes on iip data",2
2/20/2017,"r-infra q3 net up 49% at rs 375 cr,eyes rs 2l cr opportunities",2
2/20/2017,adani transmission q3 net profit up 33% at rs 99.28 cr,2
2/20/2017,"punj lloyd wins rs 348 crore pipeline, tankage contracts",2
2/21/2017,epca plans ban on dirty fuels; gas firms ready with alternative supply,1
2/22/2017,corrected-table-india commercial papers dealt-feb 22,1
2/22/2017,breakingviews-lloyds' latest targets look a bridge too far,1
2/23/2017,asia fuel oil tender-bahrain's bapco offers mid-march hsfo cargo,1
2/23/2017,rpt-table-india commercial papers dealt-feb 22,1
2/25/2017,if you wanted to see your lawyer –this was the party to be at!,1
2/26/2017,more wind power projects to go under hammer next fiscal,1
3/1/2017,unit-4 at mundra plant runs for record 600 days: adani power,1
3/1/2017,hc stays apsez’s notice to cwc,1
3/1/2017,indian firms raise usd 1.82 bn from overseas markets in jan,2
3/2/2017,"sensex fails to keep early lead, down 145 pts on late sell-off",0
3/2/2017,"market changes course, sensex gives up 145 pts",2
3/6/2017,adani group seeks another 142ha forest land near nagzira,2
3/6/2017,"violence erupts during godda gram sabha, several injured",1
3/7/2017,"public meet ends, majority give nod to power project",1
3/10/2017,jvm-p alleges foul play in godda public meet,1
3/12/2017,"owner goes green, neighbourhood’s pride",2
3/13/2017,india's adani applies to aus govt fund for coal mine railway financing,1
3/13/2017,adani enterprises applies to aus govt fund for coal mine railway financing,1
3/17/2017,queensland govt supports usd 16.5bn coal mine project: adani,2
3/17/2017,mock drill near adani port in hajira,1
3/17/2017,"kochi has 100 connections, bengaluru 2,000",2
3/19/2017,adani to finalise australia coal investment plan by june,1
3/19/2017,india's adani to finalise investment in australia coal project by june,1
3/21/2017,shetty slams sbi chief over farmers’ debt waiver remarks,1
3/21/2017,142ha forest land near nagzira for adani plant,1
3/26/2017,"aii, purdue university to collaborate",2
3/31/2017,shah panel trashes graft charges against guj govt under modi,1
4/1/2017,government pumps in money but gets meagre returns from psus,2
4/1/2017,sreenivasan: athirappilly project to help middlemen make money,1
4/5/2017,adani's coal mine project in australia granted water licence,1
4/7/2017,inquiry likely against private firm,1
4/12/2017,supreme court sets aside power tariff order of tribunal,1
4/12/2017,navrachana university felicitates schools under ‘swachhagrah’ project,1
4/15/2017,500 to gain from skill devpt centre in tiroda,2
4/17/2017,"from poultry business, brothers strike oil with grit",1
4/18/2017,jvm-p protest over adani land,1
4/19/2017,"sensex back in green, imd forecast holds out hope",2
4/19/2017,ap government wants more revenue share at bhavanapadu port,2
4/21/2017,stir against adani project spreads across godda,1
4/26/2017,city gas project - local bodies in a spot over go,1
4/27/2017,"woman trainee pilot, instructor dead as plane hits high tension wire",1
4/29/2017,iran offers india to run phase one of chabahar port,2
4/30/2017,brinda karat takes dig at bjp for ‘double speak’ on kashmir,1
4/30/2017,australia does not rule out government loan for adani mine project,1
5/3/2017,adani group meets godda land donors,2
5/4/2017,jvm-p plans statewide agitation,1
5/4/2017,adani agrees $54 million steel supply agreement with arrium - source,2
5/5/2017,"mkts on a roll:sensex soars 189 pts on reforms, earnings boost",2
5/8/2017,kamarajar port-adani group terminal to be ready in 1 month,2
5/9/2017,"power plants flout norms, don’t transport fly-ash",1
5/11/2017,"adani power limited halts 1,250mw supply to guvnl",1
5/11/2017,adani power limited halts 1;250mw supply to guvnl,1
5/12/2017,adani power cuts 1;250 mw power supply to guvnl,1
5/12/2017,"adani power cuts 1,250 mw power supply to guvnl",0
5/12/2017,mla fears threat to life from government,0
5/17/2017,adani power shares jump nearly 9% on buzz of cerc relief,2
5/19/2017,sac inks mou with adani group to optimize solar power generation,1
5/22/2017,adani to begin extracting coal from australian project in fy21,2
5/22/2017,"unhappy with diluted state rera, homebuyers seek divine intervention",0
5/23/2017,sensex down 85 points in early trade on profit booking,0
5/24/2017,"vizhinjam project favours adani, says cag report",1
5/26/2017,adani coal royalties back on australia state cabinet agenda,1
5/26/2017,"markets continue to surge as sensex, nifty reach all-time highs",2
5/27/2017,india's adani has to pay royalties in full for coal mine - australia state premier,1
5/27/2017,adani has to pay royalties in full for coal mine - australia state premier,1
5/30/2017,adani australian coal project back on track with royalty deal,2
5/31/2017,adani oz coal project back on track with royalty deal,2
6/1/2017,"sensex, nifty end flat; guard against volatility after gdp numbers",1
6/4/2017,cm oommen chandy: competitors keen to see vizhinjam project nixed,1
6/6/2017,adani gives final approval for $4 billion australia coal mine,2
6/6/2017,adani backs go-ahead for $4 billion australia coal mine,2
6/6/2017,adani gives final approval for $4 billion australia coal mine project,1
6/7/2017,‘panel should probe more matters’,1
6/9/2017,contractors’ men seek adani gas jobs,1
6/9/2017,contractors' men seek adani gas jobs,2
6/12/2017,vizhinjam deal report: oommen chandy writes to cag,1
6/14/2017,"flying high, coming down with a thud",0
6/19/2017,fitch rates adani ports' proposed usd notes as bbb-(exp),1
6/19/2017,corp nbfcs look to steer lending boom,2
6/19/2017,moody's revises adani ports outlook to stable from negative,1
6/20/2017,blocking creeks near mundra: human rights commission seeks report over fisherman's plaint,1
6/21/2017,iss secret meet case: abdul nasser madani challenges police report,1
6/21/2017,petronet in talks to buy stake in gspc's mundra lng terminal,2
6/22/2017,tata power offers to sell 51% stake in mundra for re 1,2
6/27/2017,"govt stitches rescue plan for tata, adani power plants",1
6/27/2017,"sensex, nifty open strong after long weekend",2
6/29/2017,"cong, ncp ask govt to clarify stand on land bill",1
6/29/2017,government to approve fdi proposals in 8-10 weeks,2
6/29/2017,guvnl vets proposals to take over imported-coal power plants,1
6/29/2017,mep to collect toll at rajiv gandhi sea link,2
6/29/2017,india's solar power capacity to be 22 gw by march: goyal,2
7/4/2017,"sensex, nifty gain by 1% in feel-good rally",2
7/10/2017,gujarat meet today on rescue plan for power plants,1
7/11/2017,no plan to invest in white elephants: chimanbhai sapariya,1
7/13/2017,boa defers decision on adanis' mundra plant transfer proposal,1
7/19/2017,moody's upgrades adani's abbot point rating to stable from -ve,2
7/24/2017,up govt issues notice to six companies for failing to set up power plants,0
7/25/2017,uppcl notice to 6 companies for not installing solar power plant,0
7/26/2017,"sparks fly at tnerc public hearing over debt, power deals",2
