Date,Title,myBERT
4/16/2015,australian bank may still want fund adani ’ disputed coal project,1
4/17/2015,avantha get ‘ mafia ’ threat adani sale,2
4/17/2015,mafia threat avantha adani sale two person arrested making extortion call,1
4/18/2015,corporate head planned extortion bid avantha,2
4/20/2015,modi govt working poor ambani adani naidu,1
4/21/2015,adani completes r 6300cr lanco ’ udupi plant deal,2
4/23/2015,adani ’ tiroda plant tariff go,2
4/25/2015,adani bidder vizhinjam project,2
5/12/2015,adani power sink 7 disappointing q4 result,2
5/14/2015,ioc gail gas deal adani,1
5/18/2015,adani foray defence manufacturing,1
5/23/2015,cong leader taunt team modiadani,1
5/26/2015,jayaswal ’ grounded plane auctioned,2
5/26/2015,make india adani group may foray defence manufacturing mundra,1
5/31/2015,adani hire mba grad denied job muslim,1
6/2/2015,congress question adani group operating rajasthan govts coal mine chhattisgarh,1
6/3/2015,cong raise finger adani ’ rajasthan coal mining operation,1
6/3/2015,sena pat back adani group hiring muslim mba,1
6/4/2015,gadkari warning force chandy back adani bid,2
6/4/2015,maoist oppose adani group coal project australia support struggle indigenous group,1
6/6/2015,reliance power adani 45 billion power play bangladesh,1
6/7/2015,reliance power adani 45bn power play bangladesh,1
6/9/2015,adani company raise r 25000 crore via bond,1
6/11/2015,adani port begin work vizhinjam nov 1,1
6/17/2015,oustees take back land given adani group patkar,2
6/24/2015,44 firm ignored job quota rule,1
6/24/2015,went 4 pm 18 foreign visit adani,2
6/25/2015,adani may junk 16bn oz project,1
6/25/2015,adani set solar project jaisalmer,1
6/28/2015,gulf kutch gateway india inc,1
6/28/2015,gulfbased gfh sign pact adani mumbai economic zone,1
6/29/2015,adani suspends au project engg work delay approval,1
6/30/2015,tn government adani likely sign solar deal today,1
7/7/2015,iocadani combine bid cng licence 5 city,1
7/10/2015,lack demand close ntpc mouda plant,1
7/15/2015,adani talk acquire gangavaram port 21b,1
7/15/2015,adani accepts letter award,1
7/18/2015,tamil nadu ’ adani deal scanner,1
7/18/2015,mp solar tariff put tn adani deal scanner,1
7/20/2015,tamilisai seek report tamil nadus power deal adani group,1
7/20/2015,adani representative meet cm,1
7/20/2015,vizhinjam port kerala govt adanis ink pact august 17,1
7/20/2015,mp solar tariff put tn adani deal scanner,1
7/21/2015,medical school fee rise 40 3 year,1
7/22/2015,adani suspends 2 key contractor biggest australia coal project,1
7/23/2015,adani port raise 650 million via dollar bond issue,1
8/5/2015,australian court revoke approval adanis coal mine project,1
8/6/2015,snake lizard threaten adanis 16bn oz coal mine project,1
8/6/2015,blow adani australia bank end adviser role,1
8/7/2015,australian pm back adani mine say sabotaging project dangerous,1
8/8/2015,australian pm tony abbott attack proadani statement,1
8/16/2015,vizhinjam port mou signed monday,1
8/18/2015,adani ink port pact kerala,1
8/18/2015,v receives adanis stand firm stated position,1
8/18/2015,adani set 1000day deadline vizhinjam,2
8/24/2015,adani enterprise invest r 25000 crore chhattisgarh,1
8/25/2015,govt sign mous worth rs25k crore adani develop 2 project,1
9/3/2015,centre build major port tamil nadu cost r 21000 crore,1
9/3/2015,adani loses key customer carmichael mine australia,1
9/3/2015,hc cite lack proof decline entertain plea adani group,1
9/6/2015,hp govt approves refund 280 cr adani power,1
9/6/2015,himachal refund r 280 crore adani power,1
9/11/2015,adani bail power crisis,1
9/11/2015,adani group expand capacity udupi power plant 1600mw,1
10/3/2015,aiadmk govt shelving portmaduravoyal elevated expressway project chennai facilitate adanis dmk chief karunanidh,1
10/3/2015,adani port lt ink pact manage kattupalli port,1
10/4/2015,adani group take port near chennai,1
10/5/2015,left alternative say prakash karat,1
10/6/2015,adani eye sindri fertilizer factory,1
10/9/2015,shed procorporate tag venkaiah naidu say adani ambani cong ’ meherbani,2
10/15/2015,adanis coal mine project get reapproval australia,1
11/2/2015,power tariff jat quota focus inld rally,1
12/4/2015,24 year kerala begin work vizhinjam port,2
12/6/2015,vizhinjam adani announces csr project worth 35cr,1
12/6/2015,adani port keen enter maharashtra ap karnataka foreign nation,1
12/21/2015,adani power share zoom 9,1
12/23/2015,adani gain oz clear expansion key port,1
12/28/2015,karan adani take ceo adani port sez,1
12/29/2015,karan adani take port sez ceo,1
12/29/2015,karan adani take port sez ceo,1
1/7/2016,adani build transshipment hub mundra,1
1/9/2016,adani upcl release csr grant r 374 crore yellur gram panchayat,1
1/10/2016,adani upcl offer r 463cr csr mudarangadi gp,1
1/11/2016,rally adani power plant today,1
1/11/2016,rally adani power plant today,1
1/12/2016,adani drop anchor ap,1
1/17/2016,ngt quashes green nod adani hazira port,2
1/17/2016,ngt quashes green nod adani hazira port,2
1/25/2016,yet another delay hit city gas project,0
1/26/2016,former australian mp set 4600 km marathon run,1
1/27/2016,adani power azure power win solar project bid uttar pradesh,1
2/2/2016,adanis coal project australia get environmental approval,1
2/4/2016,adani eye power plant state,1
2/6/2016,plot cng station cancelled,1
2/7/2016,parineeti chopra unveils india ’ first diabetes care oil mumbai,1
2/8/2016,adani eye solar plant australia coal plan remains stuck,1
2/8/2016,adani eye solar plant oz coal plan remains stuck,1
2/9/2016,adani eye solar plant australia,1
2/10/2016,australia govt booster adani coal project,1
2/11/2016,adani ’ coal project get oz govt boost,2
2/23/2016,promoter sunil mittal kansai paint others go fishing stock sink new low,2
2/27/2016,adani group gag advocate,1
2/27/2016,adani enterprise new arm coal washing biz,1
3/1/2016,centre nod clubbing adani 3 sezs gujarat,2
3/3/2016,ngt penalty adani deposit r 25 cr fine,1
3/4/2016,ngt penalty adani deposit r 25 cr fine,1
3/4/2016,adani group may buy jindal power,1
3/4/2016,ngt penalty adani deposit r 25 cr fine,1
3/4/2016,gadkari point dip adani port business blunt opposition attack,1
3/4/2016,adani group may buy jindal power,1
3/17/2016,mp govt remove land encroachment adaniwilmar,1
3/18/2016,power plant conspiracy govt benefit adani ambani,1
3/27/2016,adani offer 49 pc stake dhamra lng project ioc gail,1
3/29/2016,sp fitch assign stable outlook adani transmission,1
3/30/2016,adani tie elbit alpha unmanned aircraft system,1
4/3/2016,adani gas cut png cng price,2
4/4/2016,adani enterpris share surge 8 win australia mining lease,1
4/5/2016,deliberate attempt draw adanis name panama paper,1
4/7/2016,adani restart talk stakeholder australian mine project,1
4/8/2016,adani defence business ally joint venture panamahit italian company,1
4/12/2016,inox wind bag two 70mw wind energy projs adani green,1
4/17/2016,adani get land owner consent oz project,1
4/20/2016,firm failing impact india solar plan goyal,1
4/21/2016,one dead 20 hurt hot water pipe burst adani plant,2
4/29/2016,7 succumb burn injury sustained adani plant,1
4/30/2016,7 succumb burn injury sustained adani plant,1
5/3/2016,adani power q4 net jump 64 r 1173 cr,1
5/3/2016,adani port q4 net profit jump 38 r 914 crore,2
5/4/2016,adani enterprise report q4 net profit r 167 cr,1
5/4/2016,adani port slump 12 mcap r 5849 crore,1
5/5/2016,water tiroda power plant released,2
5/6/2016,water supply adani plant still uncertain,1
5/6/2016,water supply adani plant still uncertain,1
5/6/2016,water supply adani plant still uncertain,1
5/9/2016,godda villager keep adani farmland,2
5/9/2016,aggregate debt top corporates well within norm sbi,1
5/12/2016,tariff relief 2 adani group power project,1
5/12/2016,aptel disallows compensatory tariff adani group plant,1
5/12/2016,aptel disallows compensatory tariff adani group plant,1
5/13/2016,bengal get hc nod bigticket mining operation,2
5/13/2016,water shortage may shut adani ’ tiroda plant later month,2
5/17/2016,lack water nearly shuts adani plant tiroda,2
5/19/2016,iocadani gail fail reach price agreement,1
5/26/2016,essar move hc govt gmb,1
5/26/2016,adani power expansion mundra hit green hurdle,2
5/26/2016,gail reconfigures r 12000 cr jagdishpurhaldia gas pipeline,1
5/31/2016,adani wilmar ruchi soya ink consumer good jv,1
6/3/2016,rio game u stint boost shot putter inderjeet singh,2
6/3/2016,public funding adanis coal mine australia pm,1
6/8/2016,abb open global business service centre bengaluru,1
6/8/2016,abb open glopal business service centre bengaluru,1
6/9/2016,fci ink pact adani group construction 2 silo,1
6/9/2016,coal power sector india water guzzler greenpeace,1
6/9/2016,coal power sector india water guzzler greenpeace,1
6/13/2016,abb link 648 mw solar project kamuthi national grid,1
6/24/2016,mahagenco ’ high rate causing power tariff hike,0
6/27/2016,sensex stay flat worst fall four month,2
6/28/2016,sensex stay flat worst fall four month,2
6/28/2016,bankrupt sun edison indian asset sale kick,2
6/29/2016,adani eye financial service tie macquarie nbfc,1
7/1/2016,vigilance probe official misused power graft case,1
7/1/2016,vigilance probe official misused power graft case,1
7/1/2016,adani proposes expand kattupalli port,1
7/1/2016,adani proposes expand kattupalli port,1
7/1/2016,gmr energy offloads stake adani transmission r 100 cr,1
7/2/2016,gmr energy offloads stake adani transmission r 100 cr,1
7/2/2016,vigilance probe official misused power graft case,1
7/2/2016,gmr energy offloads stake adani transmission r 100 cr,1
7/4/2016,cong raise mundra port issue parliament,1
7/4/2016,10 ew quota violates constitution sc order gujarat hc told,2
7/5/2016,summary observation recorded 0830 hr ist,2
7/5/2016,ministry expansion drama poll mayawati,1
7/6/2016,modi cabinet rejig drama say mayawati,2
7/8/2016,jharkhand aim power hub 2019 da,1
7/9/2016,pulse import benefit adani group say jdu,1
7/9/2016,mozambique pact pulse benefit adani group jdu,1
7/9/2016,mozambique pact pulse benefit adani group jdu,1
7/9/2016,pulse import benefit adani group say jdu,1
7/11/2016,political party unnecessarily drag corporates politics gautam adani,1
7/11/2016,sensex race 11mth high global cue nifty 8400,1
7/12/2016,jairam ramesh say gautam adani beneficiary crony capitalism,1
7/15/2016,sc refuse stall cerc proceeding compensatory tariff,2
7/15/2016,hardik walk jail vow continue quota stir,2
7/15/2016,kerala take colachel issue pm,1
7/17/2016,msedcl pay 16000 crore power never need,2
7/19/2016,fitch maintains stable outlook adani port,1
7/19/2016,fitch maintains stable outlook adani port,1
7/20/2016,adani enterprise raise r 6000 crore via security,1
7/20/2016,adani port complete terminal expansion mundra next year,1
7/29/2016,adanis medical college move hc management quota surrendered,1
8/5/2016,market hit higher orbit boe action sensex zoom 364 pt,1
8/5/2016,govt using 80 consumer money show power subsidy aap,1
8/5/2016,sensex zoom 364 pt nifty top 8600 boe stimulus push,2
8/8/2016,odisha seek cancellation tentuloi coal block otpcl,1
8/8/2016,bofaml expects rajan cut rate 25 bps tomorrow,2
8/8/2016,swamy prasad maurya join bjp,2
8/8/2016,govt never imposed penalty r 200 cr adani port sez,1
8/9/2016,apsez q1 net 31 r 836 cr,1
8/9/2016,irom sharmila get bail yet end fast,2
8/9/2016,adani power net loss narrow r 34 cr aprjun qtr,1
8/10/2016,poll 3 expelled cong mlas join bsp,1
8/10/2016,adani port share jump nearly 8 mcap rise r 3935 cr,1
8/10/2016,sensex post biggest singleday fall 6 week tank 310 pt,1
8/10/2016,adani enterprise q1 net profit flat r 364 cr,1
8/10/2016,travelyaari raise 7 mn gvfl bccl,2
8/10/2016,preparation afoot krishna pushkaram commencing friday,2
8/10/2016,adani transmission q1 net profit jump 3fold r 123 cr,1
8/28/2016,gmrs massive debt fail rankle goa government,1
9/2/2016,ngt refuse quash green nod adanis kerala port project,1
9/4/2016,gujarat cm inaugurates 5th edition toiadani shantigram t20 soccer,1
9/9/2016,birla mahindra among top biz honcho attend gi,1
9/12/2016,sensex trim early loss still 399 pt late morning,2
9/13/2016,aap expects dirt till goa punjab poll,2
9/13/2016,adani essar get dri notice overvaluing import,1
9/14/2016,sensex trade tight range bank auto save day,1
9/21/2016,merger quick fix banking sector issue assocham,1
9/21/2016,iocgail take 49 stake adani group dhamra lng project,1
9/21/2016,walmart india evaluating foodonly retail model,1
9/21/2016,adani group launch world ’ largest solar power plant tamil nadu,1
9/21/2016,railway functional autonomy bear salary burden,1
9/21/2016,kalyan jeweller invest r 900 cr expansion,2
9/22/2016,ioc gail mou dharma lng terminal,1
9/25/2016,india inc generationnext leader join crorepati club,1
9/25/2016,government port chief visit adanis mundhra port learn best practice,1
9/25/2016,adani upcl earmark r 536 cr csr,1
9/26/2016,sensex slide 149 point banking drag,2
9/27/2016,number chronically stressed company rise credit suisse,1
9/27/2016,sensex fails latch gain slump europe woe,2
9/27/2016,nifty decline third day slip 17 point,2
9/29/2016,speeding truck crash house injures woman,1
10/1/2016,35 lakh solatium marayamuttom accident,2
10/4/2016,sensex climb 159 point rbi policy meet focus,2
10/5/2016,adani sole bidder bhavanapadu port,1
10/5/2016,adani sole bidder bhavanapadu port,1
10/5/2016,photocopy casepublishers appeal delhi hc judgement,1
10/5/2016,rinfra sell power transmission biz adani r 2k cr,1
10/5/2016,rinfra sell power transmission biz adani r 2k cr,1
10/5/2016,hardly make film child bollywood ketan mehta,1
10/6/2016,rinfra sell power asset adani,1
10/6/2016,cary fukunaga visit india mami,1
10/6/2016,govt considering ban celebrity misleading ad,1
10/6/2016,sp moody rating atl unaffected rinfra deal,1
10/7/2016,fire near gas station char 3 vehicle vadaj,1
10/12/2016,adani upcl develops village road,1
10/13/2016,teacher ’ protest ‘ fast ’ today may remain mumbai affair,0
10/17/2016,foul play ruled adani power vicepresidents suicide cop probe case,1
10/17/2016,adani power vp commits suicide jaipur hotel,1
10/19/2016,update knowledge engineer vnit sign mous adani zeus,1
10/22/2016,foreign funded group want stop adani project au report,1
10/24/2016,cag call vizhinjam agreement onesided,1
10/29/2016,98 tree special zone likely cut,1
11/1/2016,adani upcls road inaugurated santhuru village 2510 lakh spent,2
11/6/2016,sukhbir harsimrat badal start 100 mw hsat plant,1
11/9/2016,bathinda get 100mw solar plant,1
11/9/2016,sensex nifty sink possible trump win withdrawal r 500 r 1000 note,2
11/12/2016,chandigarh get first cng station sector 44,2
11/14/2016,iimi utsaha,2
11/15/2016,ioagpl snap png supply medical college,1
11/18/2016,commercial consumer rethink moving png,1
11/22/2016,11000 ngo may get another chance renew fcra licence,1
12/6/2016,adani start work australia mine mid2017,1
12/8/2016,adani slammed low quality edible oil sale,2
12/16/2016,gujarat cm inaugurates vibrant ceramic expo summit2016 ahmedabad,1
12/17/2016,adani group developing ceramic cluster mundra,1
12/17/2016,adani group developing ceramic cluster mundra,1
12/22/2016,odisha clear investment proposal worth r 3000 crore,1
12/22/2016,first cng station open sangam city,2
12/24/2016,bjp reel document accuse upa favouring big corporates,1
1/8/2017,vibrant gujarat summit r 1 lakh crore fuel fire renewable energy,1
1/9/2017,vibrant gujarat global summit making mountain,1
1/11/2017,home turf pm narendra modi make reform pitch woo global business leader,1
1/12/2017,vibrant gujarat summit 24000 mous worth r 20 lakh crore signed day two,1
1/13/2017,state centre clear flyover proposal fast,2
1/22/2017,fire damage corporate office navrangpura,1
1/23/2017,major fire navrangpura office,1
1/25/2017,tata steel buy 51 odisha port project,1
1/31/2017,hyundai motor tiesup pusa institute technology,1
2/3/2017,refreshing approach growth via prudent measure adani,1
2/8/2017,godda villager seek halt land takeover adanis,2
2/9/2017,fitch assigns bbb rating adani port usd 500 mn bond,1
2/9/2017,rate hope spur budget rally sensex soar 4month high,2
2/10/2017,gi giant step towards povertyfree jharkhand raghubar da,2
2/11/2017,fresh bid tamil nadu inch max solar power limit,1
2/18/2017,govt yet approve revenue share bhavanapadu port,1
2/20/2017,adani transmission q3 net profit 33 r 9928 cr,1
2/20/2017,sensex end higher choppy trade eye iip data,1
2/20/2017,rinfra q3 net 49 r 375 creyes r 2l cr opportunity,1
2/20/2017,punj lloyd win r 348 crore pipeline tankage contract,2
2/21/2017,epca plan ban dirty fuel gas firm ready alternative supply,1
2/22/2017,correctedtableindia commercial paper dealtfeb 22,1
2/22/2017,breakingviewslloyds latest target look bridge far,2
2/23/2017,rpttableindia commercial paper dealtfeb 22,1
2/23/2017,rpttableindia commercial paper dealtfeb 22,1
2/23/2017,asia fuel oil tenderbahrains bapco offer midmarch hsfo cargo,1
2/25/2017,wanted see lawyer –this party,1
2/26/2017,wind power project go hammer next fiscal,2
3/1/2017,indian firm raise usd 182 bn overseas market jan,2
3/1/2017,hc stay apsez ’ notice cwc,1
3/1/2017,unit4 mundra plant run record 600 day adani power,1
3/2/2017,sensex fails keep early lead 145 pt late selloff,2
3/2/2017,market change course sensex give 145 pt,2
3/6/2017,violence erupts godda gram sabha several injured,2
3/6/2017,adani group seek another 142ha forest land near nagzira,2
3/7/2017,public meet end majority give nod power project,1
3/10/2017,jvmp alleges foul play godda public meet,2
3/12/2017,owner go green neighbourhood ’ pride,2
3/17/2017,queensland govt support usd 165bn coal mine project adani,1
3/17/2017,mock drill near adani port hajira,1
3/17/2017,mock drill near adani port hajira,1
3/17/2017,kochi 100 connection bengaluru 2000,1
3/21/2017,shetty slam sbi chief farmer ’ debt waiver remark,2
3/21/2017,142ha forest land near nagzira adani plant,2
3/26/2017,aii purdue university collaborate,1
3/26/2017,aii purdue university collaborate,1
3/31/2017,shah panel trash graft charge guj govt modi,1
4/1/2017,sreenivasan athirappilly project help middleman make money,1
4/1/2017,government pump money get meagre return psus,2
4/5/2017,adanis coal mine project australia granted water licence,1
4/7/2017,inquiry likely private firm,1
4/12/2017,navrachana university felicitates school ‘ swachhagrah ’ project,1
4/12/2017,supreme court set aside power tariff order tribunal,1
4/15/2017,500 gain skill devpt centre tiroda,2
4/17/2017,poultry business brother strike oil grit,1
4/18/2017,jvmp protest adani land,1
4/19/2017,sensex back green imd forecast hold hope,2
4/19/2017,ap government want revenue share bhavanapadu port,1
4/26/2017,city gas project local body spot go,1
4/27/2017,woman trainee pilot instructor dead plane hit high tension wire,2
4/29/2017,iran offer india run phase one chabahar port,1
4/30/2017,brinda karat take dig bjp ‘ double speak ’ kashmir,1
5/3/2017,adani group meet godda land donor,2
5/4/2017,jvmp plan statewide agitation,1
5/5/2017,mkts rollsensex soar 189 pt reform earnings boost,2
5/8/2017,kamarajar portadani group terminal ready 1 month,1
5/9/2017,power plant flout norm ’ transport flyash,1
5/11/2017,adani power limited halt 1250mw supply guvnl,1
5/12/2017,adani power cut 1250 mw power supply guvnl,1
5/12/2017,mla fear threat life government,1
5/17/2017,adani power share jump nearly 9 buzz cerc relief,2
5/19/2017,sac ink mou adani group optimize solar power generation,1
5/22/2017,unhappy diluted state rera homebuyers seek divine intervention,2
5/22/2017,adani begin extracting coal australian project fy21,1
5/23/2017,sensex 85 point early trade profit booking,2
5/24/2017,vizhinjam project favour adani say cag report,1
5/26/2017,market continue surge sensex nifty reach alltime high,2
5/30/2017,adani australian coal project back track royalty deal,1
5/31/2017,adani oz coal project back track royalty deal,1
6/1/2017,sensex nifty end flat guard volatility gdp number,1
6/4/2017,cm oommen chandy competitor keen see vizhinjam project nixed,1
6/7/2017,‘ panel probe matter ’,1
6/9/2017,contractor ’ men seek adani gas job,2
6/12/2017,vizhinjam deal report oommen chandy writes cag,1
6/14/2017,flying high coming thud,2
6/19/2017,fitch rate adani port proposed usd note bbbexp,1
6/19/2017,corp nbfcs look steer lending boom,2
6/19/2017,moody revise adani port outlook stable negative,1
6/20/2017,blocking creek near mundra human right commission seek report fisherman plaint,1
6/21/2017,petronet talk buy stake gspc mundra lng terminal,1
6/22/2017,tata power offer sell 51 stake mundra 1,2
6/27/2017,sensex nifty open strong long weekend,2
6/27/2017,govt stitch rescue plan tata adani power plant,1
6/29/2017,mep collect toll rajiv gandhi sea link,1
6/29/2017,cong ncp ask govt clarify stand land bill,1
6/29/2017,india solar power capacity 22 gw march goyal,2
6/29/2017,government approve fdi proposal 810 week,1
6/29/2017,guvnl vet proposal take importedcoal power plant,1
7/4/2017,sensex nifty gain 1 feelgood rally,2
7/10/2017,gujarat meet today rescue plan power plant,1
7/11/2017,plan invest white elephant chimanbhai sapariya,2
7/13/2017,boa defers decision adanis mundra plant transfer proposal,1
7/19/2017,moody upgrade adanis abbot point rating stable,1
7/24/2017,govt issue notice six company failing set power plant,1
7/25/2017,uppcl notice 6 company installing solar power plant,1
7/26/2017,spark fly tnerc public hearing debt power deal,1
8/2/2017,market cold rbi rate cut sensex nifty close red,2
8/2/2017,nifty hit fresh high 10101 sensex 100 point,2
8/4/2017,dredging co bid mercator eye fairfax support,1
8/6/2017,adani transmission acquires 2 spvs rvpn,1
8/6/2017,ioc buy 50 pc stake mundra lng terminal,1
8/8/2017,adia blackstone vie r 16kcr adani biz park deal mumbai,1
8/9/2017,nifty extends loss third day fall 70 pt,2
8/10/2017,govt continue support ai stake sale process,1
8/10/2017,adani power q1 net loss widens 95 r 453 cr,1
8/14/2017,adani port q1 net profit fall 1365 r 710 cr,1
8/16/2017,market open moderate gain nifty reclaims 9800 mark,2
8/16/2017,dhamra tense death three labourer,2
8/18/2017,nifty continues rule firm 3rd day 7 pt,1
8/18/2017,nifty reclaims 9900mark sensex 167 pt fund inflow,1
8/19/2017,adani overinvoicing import say congress seek scmonitored probe,1
8/25/2017,overvalued power gear import charge adani company dropped,2
8/28/2017,adani group share surge 9,2
8/28/2017,foreign ownership bse200 rise 43 bps 2493 q1,1
9/1/2017,sweden saab tie adani fighter jet deal,1
9/2/2017,sensex rise 258 pt global rally nifty 9800,1
9/2/2017,ioc invest r 32000 cr ramp petchem capacity fy21,1
9/2/2017,adani project moving slow pace say australian minister,1
9/4/2017,sensex drop 294 point nifty 9900,2
9/14/2017,vizhinjam port deal hc asks govt inform commercial benefit,1
9/20/2017,another plea hc probe overpricing power firm,1
9/20/2017,another plea sc probe overpricing power firm,1
9/21/2017,sensex nifty reverse gain rupee sink 26 paisa,2
9/25/2017,work department asks iocadani redo roadfilling work,1
9/27/2017,patanjali enter textile business take foreign company,1
9/27/2017,patanjali enter textile business take foreign company,1
9/28/2017,‘ surgical strike ’ shave 440 pt sensex,1
9/29/2017,sensex end steady post weekly loss,2
10/2/2017,greenko make 21billion bid reliance infrastructure ’ mumbai power business,1
10/3/2017,sensex keep clean slate rally 214 pt ahead rbi meet,1
10/5/2017,gujarat gas hike cng png price,1
10/5/2017,three engineer booked 2016 adani power plant accident,1
10/5/2017,wind power tariff hit alltime low r 264unit,1
10/5/2017,wind power tariff plunge record low r 264 per unit,1
10/5/2017,iaf start process acquire single engine jet month,1
10/7/2017,adani enterprise demerge renewable energy biz,1
10/8/2017,power cut 12 dists jaipur discom today,2
10/9/2017,market end flat note investor fence,1
10/10/2017,ai cut job create different one intel official,1
10/10/2017,adani transmission share jump 10 hit upper circuit,2
10/10/2017,sensex gain 6393 point 31943 nifty open 10017,2
10/11/2017,reliance infrastructure adani power mumbai unit sale talk,1
10/12/2017,adani co rally 5 bid rel infra ’ mumbai asset,1
10/18/2017,road restoration corp vet order,1
10/27/2017,vedanta adani may bid bunder diamond project mp,2
10/28/2017,dri drop adani group overvaluation case,1
10/28/2017,adani transmission q2 net profit fall 33 r 67 crore,2
10/30/2017,tn govt acting like real estate agent adani power stalin say,1
10/31/2017,sbi okay r 2317cr solar project,1
10/31/2017,adani power coercing land farmer k stalin,2
11/1/2017,adani transmission acquires rinfra wrsss asset r 1k cr,1
11/3/2017,market dip positive opening sensex look consolidate 33600mark,2
11/3/2017,gail run 15000 km pipeline nationwide,1
11/11/2017,goa government push technology control coal pollution,1
11/12/2017,adani firm close finalising rinfra power acquisition deal,1
11/13/2017,adani port q2 consolidated net dip 8 r 992 cr,1
11/13/2017,adani enterprise q2 pat fall 6 r 59 cr,1
11/13/2017,sensex nifty log first fall 3 daysadani port cil drag,2
11/16/2017,market bounce back sensex still 33000mark,2
11/18/2017,‘ cm misleading people coal river issue ’,1
11/22/2017,eyeing jet deal saab offer full tech transfer india,1
11/23/2017,ipps 60000mw thermal generation trouble,1
11/24/2017,adani mull making saab gripen fighter jet mihan,2
11/27/2017,adani may receive million dollarloan australian government,1
11/29/2017,sensex nifty close flat market trade cautious asian cue,1
11/30/2017,adani hindujas join race jaypee infra,2
11/30/2017,gas project extended north say government,1
12/1/2017,gujarat govt gave private power company huge profit public cost congress,1
12/1/2017,‘ government trying undermine panchayat role coal lobby ’,1
12/1/2017,best end tata power ’ monopoly,1
12/5/2017,sensex nifty open loss amid subdued investor sentiment,0
12/6/2017,adani essar tata caught political crossfire,2
12/7/2017,job road concern still icon industrialization,2
12/8/2017,market continue rally sensex regains 33000mark,2
12/11/2017,chinese solar panel cloud prospect 2 billion investment domestic unit,1
12/11/2017,pil overinvoicing power firm hc seek govts reply,1
12/12/2017,nifty end 10250 drop 82 point,2
12/12/2017,queensland government veto plan support loan adani australia,1
12/18/2017,adani cancel 26 billion dollar contract australian mining giant,1
12/18/2017,adani group allowed restore road,1
12/21/2017,adani acquires mumbai business debthit reliance energy r 19000 crore,2
12/21/2017,adani transmission rinfra rally 10 power biz deal,1
12/21/2017,adani buy debthit reliance energy r 19000 crore,2
12/27/2017,promise investment galore jharkhand,2
12/30/2017,bjp poisoning political disourse swaraj india,1
1/5/2018,adani raise gas price,2
1/6/2018,animal caught camera creates scare amid wedding preparation,1
1/8/2018,adani group among top 15 global utility solar power developer,1
1/13/2018,adani others ’ sell solar power higher rate uperc,1
1/17/2018,market make merry sensex breach 35000mark bank stock outperform,2
1/18/2018,business meet hit sweet spot r 10000 crore adani investment plan,1
1/19/2018,adani group invest logistics park,1
1/19/2018,adani group file defamation case news portal,1
1/22/2018,sensex gain 100 point nifty go past 10900mark early trade,2
1/25/2018,market snap bull run sensex nifty trade red,2
1/25/2018,market snap bull run sensex nifty trade red,2
2/1/2018,sit get 1 year probe case illegal iron ore export dropped cbi,2
2/1/2018,adani invest metro rail project state,1
2/3/2018,india cusp explosive growth gautam adani,2
2/3/2018,taiwanese oil refiner invest r 41600 crore gujarat,1
2/3/2018,india cusp explosive growth gautam adani,2
2/5/2018,mica celebrate foundation day,1
2/7/2018,govt concerned industrialist farmer anna hazare,1
2/7/2018,pm modi president ram nath kovind india inc top brass attend investor ’ summit,1
2/12/2018,rinfras r 18800 crore deal adani transmission get cci nod,2
2/15/2018,torrent top wind power auction 500 mw bag,2
2/16/2018,adani dump ash forest land allotted expansion,2
2/16/2018,adani kin buy air deccan pick 60 air odisha,2
2/21/2018,adani group invest r 35000 crore,1
2/21/2018,two firm gujarat bag award gcsra,1
2/22/2018,govt scrap singleengine fighter plan asks iaf go wider competition,1
2/22/2018,mous r 125 lakh crore light power sector,1
2/22/2018,adani group pledge r 37500 crore 5 year,1
3/1/2018,r 1645 crore due power bill industry,1
3/1/2018,adani invest r 5000 crore yeida area,1
3/1/2018,reliance infra get shareholder nod sale mumbai power biz adani,1
3/1/2018,rel infra get shareholder nod sale mumbai power biz adani,1
3/2/2018,congress accuses govt letting gujarat jeweller flee country,1
3/5/2018,call r 280 crore refund power firm legal opinion cm jai ram thakur,1
3/6/2018,rajasthan bjp mla back farmer stealing power,1
3/6/2018,time adani made accountable swamy,2
3/6/2018,time adani made accountable subramanian swamy,2
3/7/2018,adani group stock slump bjps swamy remark,2
3/9/2018,vpt scrap berth deal adani use imported bauxite coal,1
3/9/2018,finally four firm fray acquire jaypee infratech,2
3/14/2018,brainstorming yogi adityanath chalk ups growth path,2
3/17/2018,coal shortage hit power generation tariff may rise,1
3/20/2018,adani group request time complete first phase vizhinjam seaport project,1
3/23/2018,city get ksrtc cng bus,1
3/23/2018,opposition alleges conspiracy behind adani ’ letter stage walkout,2
3/26/2018,asset undervalued jaypee lender,1
3/29/2018,bird killed noncompliance,1
3/30/2018,6 held midsea theft dredger near alang,2
3/30/2018,adani enterprise sell entire stake subsidiary firm,1
3/31/2018,4 hike cng png price likely,2
4/3/2018,sensex close 100 point bank auto stock outperform,2
4/4/2018,anil ambanis reliance sends r 1000 crore defamation notice congress sanjay nirupam,1
4/4/2018,adani foray road infra win r 1140 cr road proj chhattisgarh,1
4/5/2018,sensex gain 400 point nifty test 10250level strong global cue,1
4/5/2018,delhi hc seek cbi report adani case closure,1
4/7/2018,adani port inaugurates phase ii dhamra port,1
4/11/2018,dark horse may pip adani kotak jaypee infra,2
4/19/2018,power plant running short coal rajasthan,1
4/19/2018,adani gas hike price cng png,2
5/2/2018,sc set aside ngts order quashing ec granted adanihazira port,1
